word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:couple_with_heart_woman_woman_dark_skin_tone_medium_skin_tone:,👩🏿‍❤️‍👩🏽,cặp đôi nữ màu da sẫm nữ màu da thường với trái tim,cặp đôi nữ màu da sẫm nữ màu da thường với trái tim,couple with heart woman woman dark skin tone medium skin tone
:couple_with_heart_woman_woman_light_skin_tone:,👩🏻‍❤️‍👩🏻,cặp đôi nữ màu da sáng với trái tim,cặp đôi nữ màu da sáng với trái tim,couple with heart woman woman light skin tone
:couple_with_heart_woman_woman_light_skin_tone_dark_skin_tone:,👩🏻‍❤️‍👩🏿,cặp đôi nữ màu da sáng nữ màu da sẫm với trái tim,cặp đôi nữ màu da sáng nữ màu da sẫm với trái tim,couple with heart woman woman light skin tone dark skin tone
:couple_with_heart_woman_woman_light_skin_tone_medium-dark_skin_tone:,👩🏻‍❤️‍👩🏾,cặp đôi nữ màu da sáng nữ màu da sẫm vừa với trái tim,cặp đôi nữ màu da sáng nữ màu da sẫm vừa với trái tim,couple with heart woman woman light skin tone medium-dark skin tone
:couple_with_heart_woman_woman_light_skin_tone_medium-light_skin_tone:,👩🏻‍❤️‍👩🏼,cặp đôi nữ màu da sáng nữ màu da sáng vừa với trái tim,cặp đôi nữ màu da sáng nữ màu da sáng vừa với trái tim,couple with heart woman woman light skin tone medium-light skin tone
:couple_with_heart_woman_woman_light_skin_tone_medium_skin_tone:,👩🏻‍❤️‍👩🏽,cặp đôi nữ màu da sáng nữ màu da thường với trái tim,cặp đôi nữ màu da sáng nữ màu da thường với trái tim,couple with heart woman woman light skin tone medium skin tone
:couple_with_heart_woman_woman_medium-dark_skin_tone:,👩🏾‍❤️‍👩🏾,cặp đôi nữ màu da sẫm vừa với trái tim,cặp đôi nữ màu da sẫm vừa với trái tim,couple with heart woman woman medium-dark skin tone
:couple_with_heart_woman_woman_medium-dark_skin_tone_dark_skin_tone:,👩🏾‍❤️‍👩🏿,cặp đôi nữ màu da sẫm vừa nữ màu da sẫm với trái tim,cặp đôi nữ màu da sẫm vừa nữ màu da sẫm với trái tim,couple with heart woman woman medium-dark skin tone dark skin tone
:couple_with_heart_woman_woman_medium-dark_skin_tone_light_skin_tone:,👩🏾‍❤️‍👩🏻,cặp đôi nữ màu da sẫm vừa nữ màu da sáng với trái tim,cặp đôi nữ màu da sẫm vừa nữ màu da sáng với trái tim,couple with heart woman woman medium-dark skin tone light skin tone
:couple_with_heart_woman_woman_medium-dark_skin_tone_medium-light_skin_tone:,👩🏾‍❤️‍👩🏼,cặp đôi nữ màu da sẫm vừa nữ màu da sáng vừa với trái tim,cặp đôi nữ màu da sẫm vừa nữ màu da sáng vừa với trái tim,couple with heart woman woman medium-dark skin tone medium-light skin tone
:couple_with_heart_woman_woman_medium-dark_skin_tone_medium_skin_tone:,👩🏾‍❤️‍👩🏽,cặp đôi nữ màu da sẫm vừa nữ màu da thường với trái tim,cặp đôi nữ màu da sẫm vừa nữ màu da thường với trái tim,couple with heart woman woman medium-dark skin tone medium skin tone
:couple_with_heart_woman_woman_medium-light_skin_tone:,👩🏼‍❤️‍👩🏼,cặp đôi nữ màu da sáng vừa với trái tim,cặp đôi nữ màu da sáng vừa với trái tim,couple with heart woman woman medium-light skin tone
:couple_with_heart_woman_woman_medium-light_skin_tone_dark_skin_tone:,👩🏼‍❤️‍👩🏿,cặp đôi nữ màu da sáng vừa nữ màu da sẫm với trái tim,cặp đôi nữ màu da sáng vừa nữ màu da sẫm với trái tim,couple with heart woman woman medium-light skin tone dark skin tone
:couple_with_heart_woman_woman_medium-light_skin_tone_light_skin_tone:,👩🏼‍❤️‍👩🏻,cặp đôi nữ màu da sáng vừa nữ màu da sáng với trái tim,cặp đôi nữ màu da sáng vừa nữ màu da sáng với trái tim,couple with heart woman woman medium-light skin tone light skin tone
:couple_with_heart_woman_woman_medium-light_skin_tone_medium-dark_skin_tone:,👩🏼‍❤️‍👩🏾,cặp đôi nữ màu da sáng vừa nữ màu da sẫm vừa với trái tim,cặp đôi nữ màu da sáng vừa nữ màu da sẫm vừa với trái tim,couple with heart woman woman medium-light skin tone medium-dark skin tone
:couple_with_heart_woman_woman_medium-light_skin_tone_medium_skin_tone:,👩🏼‍❤️‍👩🏽,cặp đôi nữ màu da sáng vừa nữ màu da thường với trái tim,cặp đôi nữ màu da sáng vừa nữ màu da thường với trái tim,couple with heart woman woman medium-light skin tone medium skin tone
:couple_with_heart_woman_woman_medium_skin_tone:,👩🏽‍❤️‍👩🏽,cặp đôi nữa màu da thường với trái tim,cặp đôi nữa màu da thường với trái tim,couple with heart woman woman medium skin tone
:couple_with_heart_woman_woman_medium_skin_tone_dark_skin_tone:,👩🏽‍❤️‍👩🏿,cặp đôi nữ màu da thường nữ màu da sẫm với trái tim,cặp đôi nữ màu da thường nữ màu da sẫm với trái tim,couple with heart woman woman medium skin tone dark skin tone
:couple_with_heart_woman_woman_medium_skin_tone_light_skin_tone:,👩🏽‍❤️‍👩🏻,cặp đôi nữ màu da thường nữ màu da sáng với trái tim,cặp đôi nữ màu da thường nữ màu da sáng với trái tim,couple with heart woman woman medium skin tone light skin tone
:couple_with_heart_woman_woman_medium_skin_tone_medium-dark_skin_tone:,👩🏽‍❤️‍👩🏾,cặp đôi nữ màu da thường nữ màu da sẫm vừa với trái tim,cặp đôi nữ màu da thường nữ màu da sẫm vừa với trái tim,couple with heart woman woman medium skin tone medium-dark skin tone
:couple_with_heart_woman_woman_medium_skin_tone_medium-light_skin_tone:,👩🏽‍❤️‍👩🏼,cặp đôi nữ màu da thường nữ màu da sáng vừa với trái tim,cặp đôi nữ màu da thường nữ màu da sáng vừa với trái tim,couple with heart woman woman medium skin tone medium-light skin tone
:cow:,🐄,bò.,bò.,cow
:cow_face:,🐮,Mặt bò,mặt bò,cow face
:cowboy_hat_face:,🤠,Mặt mũ cao bồi,mặt mũ cao bồi,cowboy hat face
:crab:,🦀,cua,cua,crab
:crayon:,🖍,bút sáp màu,bút sáp màu,crayon
:credit_card:,💳,thẻ tín dụng,thẻ tín dụng,credit card
:crescent_moon:,🌙,trăng lưỡi liềm,trăng lưỡi liềm,crescent moon
:cricket:,🦗,con dế,con dế,cricket
:cricket_game:,🏏,bóng chày,bóng chày,cricket game
:crocodile:,🐊,Cá sấu,cá sấu,crocodile
:croissant:,🥐,bánh sừng bò,bánh sừng bò,croissant
:cross_mark:,❌,dấu tích,dấu tích,cross mark
:cross_mark_button:,❎,nút dấu chéo,nút dấu chéo,cross mark button
:crossed_fingers:,🤞,ngón tay đan chéo,ngón tay đan chéo,crossed fingers
:crossed_fingers_dark_skin_tone:,🤞🏿,ngón tay đan chéo màu da sẫm,ngón tay đan chéo màu da sẫm,crossed fingers dark skin tone
:crossed_fingers_light_skin_tone:,🤞🏻,ngón tay đan chéo màu da sáng,ngón tay đan chéo màu da sáng,crossed fingers light skin tone
:crossed_fingers_medium-dark_skin_tone:,🤞🏾,ngón tay đan chéo màu da sẫm vừa,ngón tay đan chéo màu da sẫm vừa,crossed fingers medium-dark skin tone
:crossed_fingers_medium-light_skin_tone:,🤞🏼,ngón tay đan chéo màu da sáng vừa,ngón tay đan chéo màu da sáng vừa,crossed fingers medium-light skin tone
:crossed_fingers_medium_skin_tone:,🤞🏽,ngón tay đan chéo màu da thường,ngón tay đan chéo màu da thường,crossed fingers medium skin tone
:crossed_flags:,🎌,Cờ chéo,cờ chéo,crossed flags
:crossed_swords:,⚔,Kiếm chéo,kiếm chéo,crossed swords
:crown:,👑,Vương miện,vương miện,crown
:crying_cat:,😿,mèo khóc,mèo khóc,crying cat
:crying_face:,😢,Khuôn mặt khóc,khuôn mặt khóc,crying face
:crystal_ball:,🔮,quả cầu pha lê,quả cầu pha lê,crystal ball
:cucumber:,🥒,quả dưa chuột,quả dưa chuột,cucumber
:cup_with_straw:,🥤,cốc với ống rơm,cốc với ống rơm,cup with straw
:cupcake:,🧁,bánh cupcake,bánh cupcake,cupcake
:curling_stone:,🥌,Curling Stone.,curling stone.,curling stone
:curly_hair:,🦱,tóc xoăn,tóc xoăn,curly hair
:curly_loop:,➰,vòng xoăn,vòng xoăn,curly loop
:currency_exchange:,💱,thu đổi ngoại tệ,thu đổi ngoại tệ,currency exchange
:curry_rice:,🍛,cơm cà ri,cơm cà ri,curry rice
:custard:,🍮,bánh trứng,bánh trứng,custard
:customs:,🛃,phong tục,phong tục,customs
:cut_of_meat:,🥩,miếng thịt,miếng thịt,cut of meat
:cyclone:,🌀,lốc xoáy,lốc xoáy,cyclone
:dagger:,🗡,dao găm,dao găm,dagger
:dango:,🍡,bánh dango,bánh dango,dango
:dark_skin_tone:,🏿,Tone da tối màu,tone da tối màu,dark skin tone
:dashing_away:,💨,lướt đi,lướt đi,dashing away
:deaf_man:,🧏‍♂️,Người đàn ông điếc,người đàn ông điếc,deaf man
:deaf_man_dark_skin_tone:,🧏🏿‍♂️,Người đàn ông điếc màu da sẫm,người đàn ông điếc màu da sẫm,deaf man dark skin tone
:deaf_man_light_skin_tone:,🧏🏻‍♂️,người đàn ông điếc màu da sáng,người đàn ông điếc màu da sáng,deaf man light skin tone
:deaf_man_medium-dark_skin_tone:,🧏🏾‍♂️,Người đàn ông điếc màu da sẫm vừa,người đàn ông điếc màu da sẫm vừa,deaf man medium-dark skin tone
:deaf_man_medium-light_skin_tone:,🧏🏼‍♂️,Người đàn ông điếc màu da sáng vừa,người đàn ông điếc màu da sáng vừa,deaf man medium-light skin tone
:deaf_man_medium_skin_tone:,🧏🏽‍♂️,Người đàn ông điếc màu da thường,người đàn ông điếc màu da thường,deaf man medium skin tone
:deaf_person:,🧏,người điếc,người điếc,deaf person
:deaf_person_dark_skin_tone:,🧏🏿,Người điếc màu da sẫm,người điếc màu da sẫm,deaf person dark skin tone
:deaf_person_light_skin_tone:,🧏🏻,người điếc màu da sáng,người điếc màu da sáng,deaf person light skin tone
:deaf_person_medium-dark_skin_tone:,🧏🏾,Người điếc màu da sẫm vừa,người điếc màu da sẫm vừa,deaf person medium-dark skin tone
:deaf_person_medium-light_skin_tone:,🧏🏼,Người điếc màu da sáng vừa,người điếc màu da sáng vừa,deaf person medium-light skin tone
:deaf_person_medium_skin_tone:,🧏🏽,Người điếc màu da thường,người điếc màu da thường,deaf person medium skin tone
:deaf_woman:,🧏‍♀️,người phụ nữ điếc,người phụ nữ điếc,deaf woman
:deaf_woman_dark_skin_tone:,🧏🏿‍♀️,Người phụ nữ điếc màu da sẫm,người phụ nữ điếc màu da sẫm,deaf woman dark skin tone
:deaf_woman_light_skin_tone:,🧏🏻‍♀️,người phụ nữ điếc màu da sáng,người phụ nữ điếc màu da sáng,deaf woman light skin tone
:deaf_woman_medium-dark_skin_tone:,🧏🏾‍♀️,Người phụ nữ điếc màu da sẫm vừa,người phụ nữ điếc màu da sẫm vừa,deaf woman medium-dark skin tone
:deaf_woman_medium-light_skin_tone:,🧏🏼‍♀️,Người phụ nữ điếc màu da sáng vừa,người phụ nữ điếc màu da sáng vừa,deaf woman medium-light skin tone
:deaf_woman_medium_skin_tone:,🧏🏽‍♀️,Người phụ nữ điếc màu da thường,người phụ nữ điếc màu da thường,deaf woman medium skin tone
:deciduous_tree:,🌳,cây rụng lá,cây rụng lá,deciduous tree
:deer:,🦌,con nai,con nai,deer
:delivery_truck:,🚚,xe tải chuyển hàng,xe tải chuyển hàng,delivery truck
:department_store:,🏬,cửa hàng bách hóa,cửa hàng bách hóa,department store
:derelict_house:,🏚,nhà vô chủ,nhà vô chủ,derelict house
:desert:,🏜,hoang mạc,hoang mạc,desert
:desert_island:,🏝,hoang đảo,hoang đảo,desert island
:desktop_computer:,🖥,máy tính bàn,máy tính bàn,desktop computer
:detective:,🕵,thám tử,thám tử,detective
:detective_dark_skin_tone:,🕵🏿,thám tử màu da sẫm,thám tử màu da sẫm,detective dark skin tone
:detective_light_skin_tone:,🕵🏻,thám tử màu da sáng,thám tử màu da sáng,detective light skin tone
:detective_medium-dark_skin_tone:,🕵🏾,thám tử màu da sẫm vừa,thám tử màu da sẫm vừa,detective medium-dark skin tone
:detective_medium-light_skin_tone:,🕵🏼,thám tử màu da sáng vừa,thám tử màu da sáng vừa,detective medium-light skin tone
:detective_medium_skin_tone:,🕵🏽,thám tử màu da thường,thám tử màu da thường,detective medium skin tone
:diamond_suit:,♦,bộ đồ kim cương,bộ đồ kim cương,diamond suit
:diamond_with_a_dot:,💠,Kim cương với một chấm,kim cương với một chấm,diamond with a dot
:dim_button:,🔅,nút lờ mờ,nút lờ mờ,dim button
:disappointed_face:,😞,khuôn mặt thất vọng,khuôn mặt thất vọng,disappointed face
:disguised_face:,🥸,mặt ngụy trang,mặt ngụy trang,disguised face
:divide:,➗,chia,chia,divide
:diving_mask:,🤿,mặt nạ lặn,mặt nạ lặn,diving mask
:diya_lamp:,🪔,đèn diya,đèn diya,diya lamp
:dizzy:,💫,chóng mặt,chóng mặt,dizzy
:dna:,🧬,dna,dna,dna
:dodo:,🦤,dodo,dodo,dodo
:dog:,🐕,chó,chó,dog
:dog_face:,🐶,khuôn mặt chó,khuôn mặt chó,dog face
:dollar_banknote:,💵,tiền giấy đô la,tiền giấy đô la,dollar banknote
:dolphin:,🐬,Cá heo,cá heo,dolphin
:door:,🚪,cửa,cửa,door
:dotted_six-pointed_star:,🔯,Ngôi sao sáu cánh chấm,ngôi sao sáu cánh chấm,dotted six-pointed star
:double_curly_loop:,➿,Vòng xoăn đôi,vòng xoăn đôi,double curly loop
:double_exclamation_mark:,‼,dấu chấm than đôi,dấu chấm than đôi,double exclamation mark
:doughnut:,🍩,bánh vòng,bánh vòng,doughnut
:dove:,🕊,chim bồ câu,chim bồ câu,dove
:down-left_arrow:,↙,mũi tên xuống trái,mũi tên xuống trái,down-left arrow
:down-right_arrow:,↘,mũi tên xuống phải,mũi tên xuống phải,down-right arrow
:down_arrow:,⬇,mũi tên xuống,mũi tên xuống,down arrow
:downcast_face_with_sweat:,😓,khuôn mặt u ám với mồ hôi,khuôn mặt u ám với mồ hôi,downcast face with sweat
:downwards_button:,🔽,Nút xuống,nút xuống,downwards button
:dragon:,🐉,rồng,rồng,dragon
:dragon_face:,🐲,Mặt rồng,mặt rồng,dragon face
:dress:,👗,đầm,đầm,dress
:drooling_face:,🤤,mặt chảy nước dãi,mặt chảy nước dãi,drooling face
:drop_of_blood:,🩸,giọt máu,giọt máu,drop of blood
:droplet:,💧,giọt nước,giọt nước,droplet
:drum:,🥁,cái trống,cái trống,drum
:duck:,🦆,Vịt,vịt,duck
:dumpling:,🥟,bánh bao,bánh bao,dumpling
:dvd:,📀,đĩa DVD,đĩa dvd,dvd
:e-mail:,📧,e-mail,e-mail,e-mail
:eagle:,🦅,chim ưng,chim ưng,eagle
:ear:,👂,tai,tai,ear
:ear_dark_skin_tone:,👂🏿,tai màu da sẫm,tai màu da sẫm,ear dark skin tone
:ear_light_skin_tone:,👂🏻,tai điếc màu da sáng,tai điếc màu da sáng,ear light skin tone
:ear_medium-dark_skin_tone:,👂🏾,tai điếc màu da sẫm vừa,tai điếc màu da sẫm vừa,ear medium-dark skin tone
:ear_medium-light_skin_tone:,👂🏼,tai điếc màu da sáng vừa,tai điếc màu da sáng vừa,ear medium-light skin tone
:ear_medium_skin_tone:,👂🏽,tai điếc màu da thường,tai điếc màu da thường,ear medium skin tone
:ear_of_corn:,🌽,bắp ngô,bắp ngô,ear of corn
:ear_with_hearing_aid:,🦻,tai với máy trợ thính,tai với máy trợ thính,ear with hearing aid
:ear_with_hearing_aid_dark_skin_tone:,🦻🏿,tai màu da sẫm với máy trợ thính,tai màu da sẫm với máy trợ thính,ear with hearing aid dark skin tone
:ear_with_hearing_aid_light_skin_tone:,🦻🏻,tai điếc màu da sáng với máy trợ thính,tai điếc màu da sáng với máy trợ thính,ear with hearing aid light skin tone
:ear_with_hearing_aid_medium-dark_skin_tone:,🦻🏾,tai điếc màu da sẫm vừa với máy trợ thính,tai điếc màu da sẫm vừa với máy trợ thính,ear with hearing aid medium-dark skin tone
:ear_with_hearing_aid_medium-light_skin_tone:,🦻🏼,tai điếc màu da sáng vừa với máy trợ thính,tai điếc màu da sáng vừa với máy trợ thính,ear with hearing aid medium-light skin tone
:ear_with_hearing_aid_medium_skin_tone:,🦻🏽,tai điếc màu da thường với máy trợ thính,tai điếc màu da thường với máy trợ thính,ear with hearing aid medium skin tone
:egg:,🥚,trứng,trứng,egg
:eggplant:,🍆,cà tím,cà tím,eggplant
:eight-pointed_star:,✴,Ngôi sao tám cánh,ngôi sao tám cánh,eight-pointed star
:eight-spoked_asterisk:,✳,dấu hoa thị tám cánh,dấu hoa thị tám cánh,eight-spoked asterisk
:eight-thirty:,🕣,tám giờ ba mươi,tám giờ ba mươi,eight-thirty
:eight_o’clock:,🕗,tám giờ,tám giờ,eight o’clock
:eject_button:,⏏,nút đẩy,nút đẩy,eject button
:electric_plug:,🔌,phích cắm điện,phích cắm điện,electric plug
:elephant:,🐘,con voi,con voi,elephant
:elevator:,🛗,thang máy,thang máy,elevator
:eleven-thirty:,🕦,mười một giờ ba mươi,mười một giờ ba mươi,eleven-thirty
:eleven_o’clock:,🕚,mười một giờ,mười một giờ,eleven o’clock
:elf:,🧝,elf,elf,elf
:elf_dark_skin_tone:,🧝🏿,elf màu da sẫm,elf màu da sẫm,elf dark skin tone
:elf_light_skin_tone:,🧝🏻,elf màu da sáng,elf màu da sáng,elf light skin tone
:elf_medium-dark_skin_tone:,🧝🏾,elf màu da sẫm vừa,elf màu da sẫm vừa,elf medium-dark skin tone
:elf_medium-light_skin_tone:,🧝🏼,elf màu da sáng vừa,elf màu da sáng vừa,elf medium-light skin tone
:elf_medium_skin_tone:,🧝🏽,elf màu da thường,elf màu da thường,elf medium skin tone
:envelope:,✉,phong bì,phong bì,envelope
:envelope_with_arrow:,📩,phong bì với mũi tên,phong bì với mũi tên,envelope with arrow
:euro_banknote:,💶,tiền giấy euro,tiền giấy euro,euro banknote
:evergreen_tree:,🌲,cây thường xanh,cây thường xanh,evergreen tree
:ewe:,🐑,cừu cái,cừu cái,ewe
:exclamation_question_mark:,⁉,dấu chấm than hỏi,dấu chấm than hỏi,exclamation question mark
:exploding_head:,🤯,Đầu nổ,đầu nổ,exploding head
:expressionless_face:,😑,mặt vô cảm,mặt vô cảm,expressionless face
:eye:,👁,con mắt,con mắt,eye
:eye_in_speech_bubble:,👁️‍🗨️,mắt trong bong bóng lời nói,mắt trong bong bóng lời nói,eye in speech bubble
:eyes:,👀,mắt,mắt,eyes
:face_blowing_a_kiss:,😘,mặt thổi một nụ hôn,mặt thổi một nụ hôn,face blowing a kiss
:face_exhaling:,😮‍💨,mặt thở ra,mặt thở ra,face exhaling
:face_in_clouds:,😶‍🌫️,mặt trong đám mây,mặt trong đám mây,face in clouds
:face_savoring_food:,😋,Mặt thưởng thức thức ăn,mặt thưởng thức thức ăn,face savoring food
:face_screaming_in_fear:,😱,mặt la hét trong sợ hãi,mặt la hét trong sợ hãi,face screaming in fear
:face_vomiting:,🤮,mặt nôn mửa,mặt nôn mửa,face vomiting
:face_with_hand_over_mouth:,🤭,đối mặt với bàn tay trên miệng,đối mặt với bàn tay trên miệng,face with hand over mouth
:face_with_head-bandage:,🤕,mặt với băng đầu,mặt với băng đầu,face with head-bandage
:face_with_medical_mask:,😷,Mặt với mặt nạ y tế,mặt với mặt nạ y tế,face with medical mask
:face_with_monocle:,🧐,mặt với kính một mắt,mặt với kính một mắt,face with monocle
:face_with_open_mouth:,😮,mặt với miệng mở,mặt với miệng mở,face with open mouth
:face_with_raised_eyebrow:,🤨,mặt với lông mày nhếch lên,mặt với lông mày nhếch lên,face with raised eyebrow
:face_with_rolling_eyes:,🙄,khuôn mặt với đôi mắt lăn,khuôn mặt với đôi mắt lăn,face with rolling eyes
:face_with_spiral_eyes:,😵‍💫,khuôn mặt với đôi mắt xoắn ốc,khuôn mặt với đôi mắt xoắn ốc,face with spiral eyes
:face_with_steam_from_nose:,😤,mặt với hơi nước từ mũi,mặt với hơi nước từ mũi,face with steam from nose
:face_with_symbols_on_mouth:,🤬,đối mặt với các biểu tượng trên miệng,đối mặt với các biểu tượng trên miệng,face with symbols on mouth
:face_with_tears_of_joy:,😂,mặt với nước mắt vui sướng,mặt với nước mắt vui sướng,face with tears of joy
:face_with_thermometer:,🤒,mặt với nhiệt kế,mặt với nhiệt kế,face with thermometer
:face_with_tongue:,😛,mặt với lưỡi,mặt với lưỡi,face with tongue
:face_without_mouth:,😶,mặt không có miệng,mặt không có miệng,face without mouth
:factory:,🏭,xưởng sản xuất,xưởng sản xuất,factory
:factory_worker:,🧑‍🏭,công nhân nhà máy,công nhân nhà máy,factory worker
:factory_worker_dark_skin_tone:,🧑🏿‍🏭,công nhân nhà máy màu da sẫm,công nhân nhà máy màu da sẫm,factory worker dark skin tone
:factory_worker_light_skin_tone:,🧑🏻‍🏭,công nhân nhà máy màu da sáng,công nhân nhà máy màu da sáng,factory worker light skin tone
:factory_worker_medium-dark_skin_tone:,🧑🏾‍🏭,công nhân nhà máy màu da sẫm vừa,công nhân nhà máy màu da sẫm vừa,factory worker medium-dark skin tone
:factory_worker_medium-light_skin_tone:,🧑🏼‍🏭,công nhân nhà máy màu da sáng vừa,công nhân nhà máy màu da sáng vừa,factory worker medium-light skin tone
:factory_worker_medium_skin_tone:,🧑🏽‍🏭,công nhân nhà máy màu da thường,công nhân nhà máy màu da thường,factory worker medium skin tone
:fairy:,🧚,nàng tiên,nàng tiên,fairy
:fairy_dark_skin_tone:,🧚🏿,nàng tiên nhà máy màu da sẫm,nàng tiên nhà máy màu da sẫm,fairy dark skin tone
:fairy_light_skin_tone:,🧚🏻,nàng tiên nhà máy màu da sáng,nàng tiên nhà máy màu da sáng,fairy light skin tone
:fairy_medium-dark_skin_tone:,🧚🏾,nàng tiên nhà máy màu da sẫm vừa,nàng tiên nhà máy màu da sẫm vừa,fairy medium-dark skin tone
:fairy_medium-light_skin_tone:,🧚🏼,nàng tiên nhà máy màu da sáng vừa,nàng tiên nhà máy màu da sáng vừa,fairy medium-light skin tone
:fairy_medium_skin_tone:,🧚🏽,nàng tiên nhà máy màu da thường,nàng tiên nhà máy màu da thường,fairy medium skin tone
:falafel:,🧆,viên bột đậu rán,viên bột đậu rán,falafel
:fallen_leaf:,🍂,lá rơi,lá rơi,fallen leaf
:family:,👪,gia đình,gia đình,family
:family_man_boy:,👨‍👦,gia đình có đàn ông và bé trai,gia đình có đàn ông và bé trai,family man boy
:family_man_boy_boy:,👨‍👦‍👦,gia đình có đàn ông và hai bé trai,gia đình có đàn ông và hai bé trai,family man boy boy
:family_man_girl:,👨‍👧,gia đình có đàn ông và bé gái,gia đình có đàn ông và bé gái,family man girl
:family_man_girl_boy:,👨‍👧‍👦,gia định có đàn ông bé gái và bé trai,gia định có đàn ông bé gái và bé trai,family man girl boy
:family_man_girl_girl:,👨‍👧‍👧,gia đình có đàn ông và hai phụ nữ,gia đình có đàn ông và hai phụ nữ,family man girl girl
:family_man_man_boy:,👨‍👨‍👦,gia đình có hai đàn ông và bé trai,gia đình có hai đàn ông và bé trai,family man man boy
:family_man_man_boy_boy:,👨‍👨‍👦‍👦,gia đình có hai đàn ông và hai bé trai,gia đình có hai đàn ông và hai bé trai,family man man boy boy
:family_man_man_girl:,👨‍👨‍👧,gia đình có hai đàn ông và bé gái,gia đình có hai đàn ông và bé gái,family man man girl
:family_man_man_girl_boy:,👨‍👨‍👧‍👦,gia đình có hai đàn ông bé gái và bé trai,gia đình có hai đàn ông bé gái và bé trai,family man man girl boy
:family_man_man_girl_girl:,👨‍👨‍👧‍👧,gia đình có hai đàn ông và hai bé gái,gia đình có hai đàn ông và hai bé gái,family man man girl girl
:family_man_woman_boy:,👨‍👩‍👦,gia đình có đàn ông phụ nữ và bé trai,gia đình có đàn ông phụ nữ và bé trai,family man woman boy
:family_man_woman_boy_boy:,👨‍👩‍👦‍👦,gia đình có đàn ông phụ nữ bé trai và bé gái,gia đình có đàn ông phụ nữ bé trai và bé gái,family man woman boy boy
:family_man_woman_girl:,👨‍👩‍👧,gia đình có đàn ông phụ nữ và bé gái,gia đình có đàn ông phụ nữ và bé gái,family man woman girl
:family_man_woman_girl_boy:,👨‍👩‍👧‍👦,gia đình có đàn ông phụ nữ bé gái và bé trai,gia đình có đàn ông phụ nữ bé gái và bé trai,family man woman girl boy
:family_man_woman_girl_girl:,👨‍👩‍👧‍👧,gia đình có đàn ông phụ nữ và hai bé gái,gia đình có đàn ông phụ nữ và hai bé gái,family man woman girl girl
:family_woman_boy:,👩‍👦,gia đình có phụ nữ và bé trai,gia đình có phụ nữ và bé trai,family woman boy
:family_woman_boy_boy:,👩‍👦‍👦,gia đình có phụ nữ và hai bé trai,gia đình có phụ nữ và hai bé trai,family woman boy boy
:family_woman_girl:,👩‍👧,gia đình có phụ nữ và bé gái,gia đình có phụ nữ và bé gái,family woman girl
:family_woman_girl_boy:,👩‍👧‍👦,gia đình có phụ nữ bé gái và bé trai,gia đình có phụ nữ bé gái và bé trai,family woman girl boy
:family_woman_girl_girl:,👩‍👧‍👧,gia đình có phụ nữ và hai bé gái,gia đình có phụ nữ và hai bé gái,family woman girl girl
:family_woman_woman_boy:,👩‍👩‍👦,gia đình có hai phụ nữ và bé trai,gia đình có hai phụ nữ và bé trai,family woman woman boy
:family_woman_woman_boy_boy:,👩‍👩‍👦‍👦,gia đình có hai phụ nữ và hai bé trai,gia đình có hai phụ nữ và hai bé trai,family woman woman boy boy
:family_woman_woman_girl:,👩‍👩‍👧,gia đình có hai phụ nữ và bé gái,gia đình có hai phụ nữ và bé gái,family woman woman girl
:family_woman_woman_girl_boy:,👩‍👩‍👧‍👦,gia đình có hai phụ nữ bé gái và bé trai,gia đình có hai phụ nữ bé gái và bé trai,family woman woman girl boy
:family_woman_woman_girl_girl:,👩‍👩‍👧‍👧,gia đình có hai phụ nữ và hai bé gái,gia đình có hai phụ nữ và hai bé gái,family woman woman girl girl
:farmer:,🧑‍🌾,nông dân,nông dân,farmer
:farmer_dark_skin_tone:,🧑🏿‍🌾,nông dân màu da sẫm,nông dân màu da sẫm,farmer dark skin tone
:farmer_light_skin_tone:,🧑🏻‍🌾,nông dân màu da sáng,nông dân màu da sáng,farmer light skin tone
:farmer_medium-dark_skin_tone:,🧑🏾‍🌾,nông dân màu da sẫm vừa,nông dân màu da sẫm vừa,farmer medium-dark skin tone
:farmer_medium-light_skin_tone:,🧑🏼‍🌾,nông dân màu da sáng vừa,nông dân màu da sáng vừa,farmer medium-light skin tone
:farmer_medium_skin_tone:,🧑🏽‍🌾,nông dân màu da thường,nông dân màu da thường,farmer medium skin tone
:fast-forward_button:,⏩,Nút chuyển tiếp nhanh,nút chuyển tiếp nhanh,fast-forward button
:fast_down_button:,⏬,Nút xuống nhanh,nút xuống nhanh,fast down button
:fast_reverse_button:,⏪,Nút đảo ngược nhanh,nút đảo ngược nhanh,fast reverse button
:fast_up_button:,⏫,Nút lên nhanh,nút lên nhanh,fast up button
:fax_machine:,📠,máy fax,máy fax,fax machine
:fearful_face:,😨,khuôn mặt đáng sợ,khuôn mặt đáng sợ,fearful face
:feather:,🪶,lông vũ,lông vũ,feather
:female_sign:,♀,Dấu hiệu nữ,dấu hiệu nữ,female sign
:ferris_wheel:,🎡,vòng đu quay,vòng đu quay,ferris wheel
:ferry:,⛴,chiếc phà,chiếc phà,ferry
:field_hockey:,🏑,khúc côn cầu,khúc côn cầu,field hockey
:file_cabinet:,🗄,tủ đựng hồ sơ,tủ đựng hồ sơ,file cabinet
:file_folder:,📁,thư mục tập tin,thư mục tập tin,file folder
:film_frames:,🎞,Khung phim,khung phim,film frames
:film_projector:,📽,máy chiếu phim,máy chiếu phim,film projector
